Entity,Description,Source
Australian Citizen Science Association,Citizen science involves public participation and collaboration in scientific research with the aim to increase scientific knowledge. It's a great way to harness community skills and passion to fuel the capacity of science to answer our questions about the world and how it works. ,https://citizenscience.org.au/who-we-are/
European Citizen Science Association,"Citizen Science - the participation of the general public in scientific processes...an open and inclusive approach, for example by supporting and being part of the exploration, shaping and development the different aspects of the citizen science movement, its better understanding and use for the benefit of decision making",https://ecsa.citizen-science.net/about-us
European Citizen Science Association, Citizen Science projects actively involve citizens in scientific endeavour that generate new knowledge or understanding, https://ecsa.citizen-science.net/sites/default/files/ecsa_ten_principles_of_citizen_science.pdf
(US) Citizen Science Association,Citizen science is the involvement of the public in scientific research _ whether community-driven research or global investigations.,https://www.citizenscience.org/
Group on Earth Observations Citizen Science Working Group,Citizen Science encompasses a range of methodologies that encourage and support the contributions of the public to the advancement of scientific and engineering research and monitoring in ways that may include: Co-identifying research questions; Co-designing/conducting investigations; Co-designing/building/testing low cost sensors;Co-collecting and analyzing data; Co-developing data applications; Collaboratively solving complex problems.,
US Citizenscience.gov,"In citizen science, the public participates voluntarily in the scientific process, addressing real-world problems in ways that may include formulating research questions, conducting scientific experiments, collecting and analyzing data, interpreting results, making new discoveries, developing technologies and applications, and solving complex problems.", https://www.citizenscience.gov/about/#
US Crowdsourcing and Citizen Act (15 USC 3724),"The term citizen science means a form of open collaboration in which individuals or organizations participate in the scientific process in various ways, including‹ (A) enabling the formulation of research questions; (B) creating and refining project design; (C) conducting scientific experiments; (D) collecting and analyzing data; (E) interpreting the results of data;(E) interpreting the results of data;(F) developing technologies and applications;(G) making discoveries; and(H) solving problems.",http://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title15-section3724)&num=0&edition=prelim
National Institute of Health,"Citizen science efforts are driven by community concerns. These community-led projects may involve a partnership with an academic or research institution, where both parties work together to collect and share data. The goal is to address a community concern through collaborative research, and to translate the research findings into public health action that benefits the community.",https://www.niehs.nih.gov/research/supported/translational/community/index.cfm
U.S. Environmental Protection Agency (EPA),"Citizen science is a form of open collaboration in which individuals or organizations participate voluntarily in the scientific process in various ways, including collecting and analyzing data. Citizen science provides a way for members of the public to participate and support EPA programs.",https://www.epa.gov/sites/production/files/2018-09/documents/_epaoig_20180905-18-p-0240.pdf
National Aeronautics and Space Administration (NASA),"Citizen Science is defined as a form of open collaboration in which individuals or organizations participate voluntarily in the scientific process in various ways. This policy defines Citizen Science Projects as science projects that rely on volunteers.",https://science.nasa.gov/researchers/science-data
